,State_Name,District_Name,Crop_Year,Season,Crop,Area,production
50103,Chhattisgarh,JANJGIR-CHAMPA,2009,Kharif     ,Jowar,1.0,1.0
50104,Chhattisgarh,JANJGIR-CHAMPA,2009,Kharif     ,Jute,9.0,88.83333333333333
50121,Chhattisgarh,JANJGIR-CHAMPA,2009,Rabi       ,Other  Rabi pulses,144.0,66.5
50136,Chhattisgarh,JANJGIR-CHAMPA,2009,Whole Year ,Turmeric,5.0,6.2844444444444445
50141,Chhattisgarh,JANJGIR-CHAMPA,2010,Kharif     ,Jute,33.0,223.8166666666667
50178,Chhattisgarh,JANJGIR-CHAMPA,2011,Kharif     ,Jute,17.0,176.5
50261,Chhattisgarh,JANJGIR-CHAMPA,2013,Kharif     ,Sunflower,347.0,147.7
50307,Chhattisgarh,JANJGIR-CHAMPA,2014,Rabi       ,Other  Rabi pulses,4.0,2.62
50344,Chhattisgarh,JASHPUR,2000,Rabi       ,Moong(Green Gram),1.0,0.2
50383,Chhattisgarh,JASHPUR,2001,Rabi       ,Moong(Green Gram),1.0,0.2
50692,Chhattisgarh,JASHPUR,2009,Rabi       ,Other  Rabi pulses,450.0,22.0
50706,Chhattisgarh,JASHPUR,2009,Whole Year ,Tobacco,1.0,2.225
50743,Chhattisgarh,JASHPUR,2010,Whole Year ,Tobacco,1.0,2.225
50894,Chhattisgarh,KABIRDHAM,2000,Kharif     ,Cotton(lint),1.0,1.0
50900,Chhattisgarh,KABIRDHAM,2000,Kharif     ,Moong(Green Gram),3.0,1.0
50913,Chhattisgarh,KABIRDHAM,2000,Rabi       ,Moong(Green Gram),3.0,1.0
51030,Chhattisgarh,KABIRDHAM,2003,Whole Year ,Sannhamp,1.0,1.525
51063,Chhattisgarh,KABIRDHAM,2004,Whole Year ,Sannhamp,1.0,1.525
51121,Chhattisgarh,KABIRDHAM,2006,Rabi       ,Moong(Green Gram),1.0,0.2
51133,Chhattisgarh,KABIRDHAM,2006,Whole Year ,Sannhamp,1.0,1.525
51141,Chhattisgarh,KABIRDHAM,2007,Kharif     ,Horse-gram,1.0,1.8
51168,Chhattisgarh,KABIRDHAM,2007,Whole Year ,Sannhamp,1.0,1.525
51175,Chhattisgarh,KABIRDHAM,2008,Kharif     ,Horse-gram,32.0,9.1
51202,Chhattisgarh,KABIRDHAM,2008,Whole Year ,Sannhamp,1.0,1.525
51221,Chhattisgarh,KABIRDHAM,2009,Rabi       ,Moong(Green Gram),2.0,1.0
51222,Chhattisgarh,KABIRDHAM,2009,Rabi       ,Other  Rabi pulses,1.0,5.0
51232,Chhattisgarh,KABIRDHAM,2009,Whole Year ,Sannhamp,1.0,1.525
51265,Chhattisgarh,KABIRDHAM,2010,Whole Year ,Sannhamp,1.0,1.525
51283,Chhattisgarh,KABIRDHAM,2011,Rabi       ,Horse-gram,1.0,1.9
51328,Chhattisgarh,KABIRDHAM,2012,Whole Year ,Banana,23.0,890.05
51425,Chhattisgarh,KANKER,2000,Rabi       ,Safflower,1.0,1.0
51459,Chhattisgarh,KANKER,2001,Rabi       ,Other  Rabi pulses,1.0,5.0
51576,Chhattisgarh,KANKER,2004,Rabi       ,Safflower,1.0,1.0
51613,Chhattisgarh,KANKER,2005,Rabi       ,Safflower,1.0,1.0
51643,Chhattisgarh,KANKER,2006,Rabi       ,Jute,1.0,6.435615384615384
51736,Chhattisgarh,KANKER,2009,Kharif     ,Groundnut,11.0,13.600317460317461
51974,Chhattisgarh,KONDAGAON,2011,Whole Year ,Coconut ,35.0,291.45
51999,Chhattisgarh,KONDAGAON,2012,Kharif     ,Soyabean,1.0,1.1792857142857143
52012,Chhattisgarh,KONDAGAON,2012,Whole Year ,Coconut ,65.0,284712.4
52071,Chhattisgarh,KONDAGAON,2014,Rabi       ,Castor seed,1.0,1.0
52075,Chhattisgarh,KONDAGAON,2014,Rabi       ,Masoor,1.0,1.0
52076,Chhattisgarh,KONDAGAON,2014,Rabi       ,Moong(Green Gram),1.0,0.2
52083,Chhattisgarh,KONDAGAON,2014,Whole Year ,Coconut ,34.0,291.45
52210,Chhattisgarh,KORBA,2003,Kharif     ,Sunflower,1.0,1.0
52217,Chhattisgarh,KORBA,2003,Rabi       ,Moong(Green Gram),1.0,0.2
52325,Chhattisgarh,KORBA,2006,Rabi       ,Jute,81.0,638.4
52391,Chhattisgarh,KORBA,2008,Kharif     ,Potato,1.0,7.208253968253968
52424,Chhattisgarh,KORBA,2009,Kharif     ,Jute,66.0,528.4
52433,Chhattisgarh,KORBA,2009,Kharif     ,Soyabean,2.0,2.060714285714286
52434,Chhattisgarh,KORBA,2009,Kharif     ,Sunflower,12.0,9.01
52448,Chhattisgarh,KORBA,2009,Whole Year ,Dry ginger,5.0,11.246197691197692
52453,Chhattisgarh,KORBA,2009,Whole Year ,Sugarcane,2.0,26.223333333333336
52455,Chhattisgarh,KORBA,2009,Whole Year ,Turmeric,8.0,9.066666666666666
52461,Chhattisgarh,KORBA,2010,Kharif     ,Jute,89.0,775.5
52490,Chhattisgarh,KORBA,2010,Whole Year ,Sannhamp,1.0,1.525
52499,Chhattisgarh,KORBA,2011,Kharif     ,Jute,49.0,483.4
52539,Chhattisgarh,KORBA,2012,Kharif     ,Jute,47.0,513.8190476190476
52563,Chhattisgarh,KORBA,2012,Whole Year ,Banana,3.0,100.58650793650793
52575,Chhattisgarh,KORBA,2013,Kharif     ,Jute,48.0,414.4666666666666
52586,Chhattisgarh,KORBA,2013,Kharif     ,Sunflower,13.0,7.2
52614,Chhattisgarh,KORBA,2014,Kharif     ,Jute,72.0,596.25
52649,Chhattisgarh,KOREA,2000,Kharif     ,Cotton(lint),5.0,4.772857142857143
52682,Chhattisgarh,KOREA,2000,Whole Year ,Tobacco,1.0,2.225
